latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
36.35788,-114.91005,304.68,0.39,0.44,2026-03-01,911,N,VIIRS,n,2.0NRT,284.34,0.68,N
36.38291,-114.87737,300.99,0.39,0.44,2026-03-01,911,N,VIIRS,n,2.0NRT,284.08,0.72,N
37.94928,-122.40101,298.56,0.51,0.66,2026-03-01,911,N,VIIRS,n,2.0NRT,286.32,2.01,N
32.1362,-115.00433,343.79,0.53,0.42,2026-03-01,913,N,VIIRS,n,2.0NRT,284.92,10.01,N
32.41326,-117.01173,304.3,0.45,0.47,2026-03-01,913,N,VIIRS,n,2.0NRT,288.82,0.82,N
32.50823,-116.77068,296,0.44,0.46,2026-03-01,913,N,VIIRS,n,2.0NRT,284.65,0.38,N
32.59978,-117.01257,299.98,0.46,0.47,2026-03-01,913,N,VIIRS,n,2.0NRT,286.62,0.75,N
32.71392,-114.75867,304.03,0.52,0.42,2026-03-01,913,N,VIIRS,n,2.0NRT,288.06,1.4,N
32.85752,-117.14977,301.9,0.47,0.48,2026-03-01,913,N,VIIRS,n,2.0NRT,283.35,0.62,N
33.71521,-117.71059,305.89,0.51,0.5,2026-03-01,913,N,VIIRS,n,2.0NRT,287.07,0.72,N
33.7959,-117.478,299.51,0.5,0.49,2026-03-01,913,N,VIIRS,n,2.0NRT,286.87,0.78,N
34.15242,-118.19429,309.62,0.55,0.51,2026-03-01,913,N,VIIRS,n,2.0NRT,289.58,1.32,N
34.15261,-118.19386,310.32,0.55,0.51,2026-03-01,913,N,VIIRS,n,2.0NRT,289.34,2.04,N
34.29088,-118.80274,298.18,0.6,0.53,2026-03-01,913,N,VIIRS,n,2.0NRT,285.15,0.82,N
34.29201,-118.80282,297.71,0.6,0.53,2026-03-01,913,N,VIIRS,n,2.0NRT,285,0.77,N
34.33414,-118.52266,302.71,0.58,0.52,2026-03-01,913,N,VIIRS,n,2.0NRT,286.68,0.74,N
34.42995,-118.64561,299.84,0.59,0.53,2026-03-01,913,N,VIIRS,n,2.0NRT,284.47,0.49,N
34.60922,-117.33657,314.51,0.5,0.49,2026-03-01,913,N,VIIRS,n,2.0NRT,285.26,2.71,N
34.6084,-117.34231,300.69,0.76,0.77,2026-03-01,1051,N,VIIRS,n,2.0NRT,282.4,1.74,N
34.62189,-117.10392,296.88,0.78,0.78,2026-03-01,1051,N,VIIRS,n,2.0NRT,283.64,1.26,N
37.94938,-122.40266,298.59,0.34,0.56,2026-03-01,1051,N,VIIRS,n,2.0NRT,285.84,1.24,N
36.14198,-118.60149,344.73,0.42,0.45,2026-03-01,2031,N,VIIRS,n,2.0NRT,293.39,4.64,D
32.38167,-114.89223,300.37,0.32,0.55,2026-03-02,854,N,VIIRS,n,2.0NRT,287.04,0.53,N
32.49767,-116.83379,309.25,0.42,0.61,2026-03-02,854,N,VIIRS,n,2.0NRT,286.31,2.2,N
32.49797,-116.83852,320.66,0.42,0.61,2026-03-02,854,N,VIIRS,n,2.0NRT,286.54,3.33,N
32.5009,-116.79378,307.34,0.42,0.61,2026-03-02,854,N,VIIRS,n,2.0NRT,285.48,0.94,N
33.79559,-117.47874,296.49,0.47,0.64,2026-03-02,854,N,VIIRS,n,2.0NRT,283.6,0.53,N
34.15608,-118.19786,297.27,0.52,0.67,2026-03-02,854,N,VIIRS,n,2.0NRT,283.93,0.21,N
34.33377,-118.52205,296.75,0.54,0.68,2026-03-02,854,N,VIIRS,n,2.0NRT,283.81,0.39,N
34.60918,-117.34074,297.88,0.47,0.64,2026-03-02,854,N,VIIRS,n,2.0NRT,273.5,1.03,N
40.8223,-114.26071,299.11,0.42,0.61,2026-03-02,1032,N,VIIRS,n,2.0NRT,275.26,2,N
32.49401,-116.83413,312.04,0.51,0.66,2026-03-02,1034,N,VIIRS,n,2.0NRT,285.1,1.82,N
32.49525,-116.79111,296.37,0.52,0.67,2026-03-02,1034,N,VIIRS,n,2.0NRT,285.14,1.75,N
32.49555,-116.8397,311.36,0.51,0.66,2026-03-02,1034,N,VIIRS,n,2.0NRT,285.47,1.82,N
32.4966,-116.79597,315.59,0.52,0.67,2026-03-02,1034,N,VIIRS,n,2.0NRT,285.34,2.75,N
32.50261,-116.79395,297.14,0.52,0.67,2026-03-02,1034,N,VIIRS,n,2.0NRT,284.33,0.73,N
33.79295,-117.47712,296.68,0.44,0.62,2026-03-02,1034,N,VIIRS,n,2.0NRT,282.82,0.58,N
34.15252,-118.19205,298.25,0.4,0.6,2026-03-02,1034,N,VIIRS,n,2.0NRT,273.21,0.33,N
34.33585,-118.52034,304.26,0.38,0.58,2026-03-02,1034,N,VIIRS,n,2.0NRT,284.03,0.58,N
34.35305,-116.85298,295.56,0.46,0.64,2026-03-02,1034,N,VIIRS,n,2.0NRT,282.36,1.01,N
34.35434,-116.85339,297.61,0.46,0.64,2026-03-02,1034,N,VIIRS,n,2.0NRT,283.28,0.78,N
36.98361,-120.21282,315,0.53,0.5,2026-03-02,1034,N,VIIRS,n,2.0NRT,283.28,2.85,N
36.98502,-120.21457,306.45,0.53,0.5,2026-03-02,1034,N,VIIRS,n,2.0NRT,283.22,1.97,N
37.45406,-121.93246,300.45,0.42,0.45,2026-03-02,1034,N,VIIRS,n,2.0NRT,282.98,1.1,N
37.88366,-121.18497,298.39,0.45,0.47,2026-03-02,1034,N,VIIRS,n,2.0NRT,281.85,0.38,N
38.67382,-121.81982,326.44,0.46,0.64,2026-03-02,2016,N,VIIRS,n,2.0NRT,291.75,2.01,D
39.27063,-121.85706,330.13,0.45,0.63,2026-03-02,2016,N,VIIRS,n,2.0NRT,288.17,2.58,D
41.25079,-123.24023,337.67,0.46,0.64,2026-03-02,2016,N,VIIRS,n,2.0NRT,283.47,4.31,D
41.46671,-122.36774,333.25,0.41,0.61,2026-03-02,2016,N,VIIRS,n,2.0NRT,286.09,3.56,D
36.45684,-120.93031,329.1,0.38,0.59,2026-03-02,2154,N,VIIRS,n,2.0NRT,291.07,2.89,D
37.82835,-119.89892,346.64,0.45,0.63,2026-03-02,2157,N,VIIRS,n,2.0NRT,289.37,10.7,D
37.82855,-119.89417,367,0.45,0.63,2026-03-02,2157,N,VIIRS,h,2.0NRT,290.27,10.7,D
37.83039,-119.89602,367,0.45,0.63,2026-03-02,2157,N,VIIRS,h,2.0NRT,291.68,21.07,D
37.83062,-119.8913,349.72,0.45,0.63,2026-03-02,2157,N,VIIRS,n,2.0NRT,284.6,17.53,D
38.28728,-122.33652,331.01,0.33,0.55,2026-03-02,2157,N,VIIRS,n,2.0NRT,288.42,1.77,D
38.33264,-121.60535,331.9,0.36,0.58,2026-03-02,2157,N,VIIRS,n,2.0NRT,289.8,1.96,D
38.33289,-121.60111,343.57,0.36,0.58,2026-03-02,2157,N,VIIRS,n,2.0NRT,292.56,1.96,D
38.33464,-121.5713,329.2,0.36,0.58,2026-03-02,2157,N,VIIRS,n,2.0NRT,294.67,2.33,D
38.36671,-121.57825,346.95,0.36,0.58,2026-03-02,2157,N,VIIRS,n,2.0NRT,294.07,5.02,D
38.36697,-121.57399,351.87,0.36,0.58,2026-03-02,2157,N,VIIRS,n,2.0NRT,292.62,6.81,D
38.36838,-121.5786,351.12,0.36,0.58,2026-03-02,2157,N,VIIRS,n,2.0NRT,294.77,7.56,D
38.36861,-121.57432,356.67,0.36,0.58,2026-03-02,2157,N,VIIRS,n,2.0NRT,293.34,9.93,D
39.08549,-122.08441,353.65,0.35,0.57,2026-03-02,2157,N,VIIRS,n,2.0NRT,293.62,3.6,D
39.30575,-122.27383,367,0.34,0.56,2026-03-02,2157,N,VIIRS,h,2.0NRT,294.94,14.55,D
39.63079,-121.59245,332.05,0.37,0.58,2026-03-02,2157,N,VIIRS,n,2.0NRT,290.92,5.01,D
41.24923,-123.24829,349.13,0.63,0.54,2026-03-02,2157,N,VIIRS,n,2.0NRT,291.32,18.07,D
41.46313,-122.3683,367,0.35,0.57,2026-03-02,2157,N,VIIRS,h,2.0NRT,294.6,10.15,D
41.46338,-122.36408,331.07,0.35,0.57,2026-03-02,2157,N,VIIRS,n,2.0NRT,288.08,8.64,D
41.46633,-122.36856,367,0.35,0.57,2026-03-02,2157,N,VIIRS,h,2.0NRT,293.56,9.76,D
41.46655,-122.36426,329.02,0.35,0.57,2026-03-02,2157,N,VIIRS,n,2.0NRT,286.75,7.84,D
37.88461,-121.18598,299.72,0.42,0.38,2026-03-03,1013,N,VIIRS,n,2.0NRT,282.01,0.65,N
38.02499,-122.06435,295.31,0.4,0.37,2026-03-03,1013,N,VIIRS,n,2.0NRT,285.15,0.8,N
38.03138,-122.10064,299.07,0.4,0.37,2026-03-03,1013,N,VIIRS,n,2.0NRT,282.3,0.51,N
38.21582,-121.98643,300.22,0.4,0.37,2026-03-03,1013,N,VIIRS,n,2.0NRT,282.52,0.44,N
38.30133,-122.7501,301.27,0.39,0.36,2026-03-03,1013,N,VIIRS,n,2.0NRT,282.01,0.78,N
39.00401,-122.01418,305.21,0.4,0.37,2026-03-03,1013,N,VIIRS,n,2.0NRT,280.77,0.73,N
39.05024,-120.12326,313.27,0.44,0.39,2026-03-03,1013,N,VIIRS,n,2.0NRT,270.02,1.87,N
39.08627,-122.08602,296.43,0.4,0.37,2026-03-03,1013,N,VIIRS,n,2.0NRT,281.13,0.47,N
39.62071,-119.26243,304.42,0.47,0.4,2026-03-03,1013,N,VIIRS,n,2.0NRT,274.43,1.7,N
39.62852,-121.5931,295.08,0.4,0.37,2026-03-03,1013,N,VIIRS,n,2.0NRT,281.06,0.42,N
40.736,-122.32577,300.14,0.39,0.36,2026-03-03,1013,N,VIIRS,n,2.0NRT,280.91,0.45,N
40.82224,-114.2599,306.35,0.49,0.49,2026-03-03,1013,N,VIIRS,n,2.0NRT,273.19,1.52,N
40.89791,-123.75443,296.11,0.39,0.36,2026-03-03,1013,N,VIIRS,n,2.0NRT,278.39,0.51,N
32.51981,-116.85952,296.08,0.56,0.51,2026-03-03,1015,N,VIIRS,n,2.0NRT,282.5,0.84,N
32.85805,-117.1497,299.09,0.53,0.5,2026-03-03,1015,N,VIIRS,n,2.0NRT,281.81,0.54,N
